Date/time,v80;wind_speed;Avg,v80;wind_speed;Max,v80;wind_speed;Min,v80;wind_speed;StdDev,v80;wind_speed;Count,v80V;wind_speed;Avg,v80V;wind_speed;Max,v80V;wind_speed;Min,v80V;wind_speed;StdDev,v80V;wind_speed;Count,v60;wind_speed;Avg,v60;wind_speed;Max,v60;wind_speed;Min,v60;wind_speed;StdDev,v60;wind_speed;Count,v40;wind_speed;Avg,v40;wind_speed;Max,v40;wind_speed;Min,v40;wind_speed;StdDev,v40;wind_speed;Count,v20;wind_speed;Avg,v20;wind_speed;Max,v20;wind_speed;Min,v20;wind_speed;StdDev,v20;wind_speed;Count,dir78.5 (deg);wind_direction;Avg,dir78.5 (deg);wind_direction;StdDev,dir78.5 (deg);wind_direction;Count,dir58.5 (deg);wind_direction;Avg,dir58.5 (deg);wind_direction;StdDev,dir58.5 (deg);wind_direction;Count,Temp/Hum5;humidity;Avg,Temp/Hum5;humidity;Max,Temp/Hum5;humidity;Min,Temp/Hum5;humidity;StdDev,Temp/Hum5;humidity;Count,temp76;temperature;Avg,temp76;temperature;Max,temp76;temperature;Min,temp76;temperature;StdDev,temp76;temperature;Count,Temp/Hum5;temperature;Avg,Temp/Hum5;temperature;Max,Temp/Hum5;temperature;Min,Temp/Hum5;temperature;StdDev,Temp/Hum5;temperature;Count,baro (mbar);air_pressure;Avg,baro (mbar);air_pressure;Max,baro (mbar);air_pressure;Min,baro (mbar);air_pressure;StdDev,baro (mbar);air_pressure;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A2;Avg,A2;Max,A2;Min,A2;StdDev,A3;Avg,A3;Max,A3;Min,A3;StdDev,A4;Avg,A4;Max,A4;Min,A4;StdDev,C1;Avg,C1;Max,C1;Min,C1;StdDev,C2;Avg,C2;Max,C2;Min,C2;StdDev,C3;Avg,C3;Max,C3;Min,C3;StdDev,C4;Avg,C4;Max,C4;Min,C4;StdDev,C5;Avg,C5;Max,C5;Min,C5;StdDev,D1;Avg,D1;Max,D1;Min,D1;StdDev,D2;Avg,D2;Max,D2;Min,D2;StdDev,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2017-07-28 00:00:00,4.7699,5.3544,4.1134,0.2528,600,4.7651,5.4246,3.9657,0.2608,600,4.4221,5.1765,3.4778,0.2994,600,3.8645,4.7349,2.4354,0.3975,600,3.0486,4.2419,1.7119,0.4990,600,42.8412,2.5452,600,41.8516,3.1576,600,94.2399,94.3022,94.1801,0.0177,600,26.22818,26.24866,26.21509,0.00587,600,26.75741,26.77053,26.74307,0.00434,600,960.3261,960.6372,960.2710,0.0398,600,3.6033,3.6064,3.6027,0.0004,0.56757,0.56771,0.56743,0.00004,0.9424,0.9430,0.9418,0.0002,0.56228,0.56249,0.56215,0.00006,61.0583,87.0000,32.0000,10.8470,79.0733,98.0000,48.0000,8.6438,90.5683,107.0000,70.0000,6.5217,98.2833,111.0000,84.0000,5.4997,47.2183,54.0000,39.0000,2.6819,116.2433,146,80,8.9925,118.0667,141,96,7.2471,12.56,12.61,12.51,24.3833,27,21,27.0,4459021
2017-07-28 00:10:00,4.2892,5.4922,3.6538,0.4501,600,4.2838,5.5219,3.6740,0.4464,600,3.8494,4.9010,3.1105,0.4361,600,3.0764,4.4130,2.1135,0.4932,600,2.2948,3.5979,1.2059,0.5553,600,40.2752,2.3754,600,38.6090,2.6795,600,94.2561,94.3327,94.1801,0.0290,600,26.23487,26.24866,26.21815,0.00517,600,26.74338,26.75832,26.71865,0.00884,600,960.3701,960.6677,960.2710,0.1175,600,3.6037,3.6067,3.6027,0.0012,0.56743,0.56758,0.56719,0.00009,0.9426,0.9433,0.9418,0.0003,0.56235,0.56249,0.56218,0.00005,44.6717,73.0000,21.0000,12.0724,61.9367,91.0000,41.0000,10.7242,78.0933,101.0000,62.0000,9.4980,87.8233,114.0000,74.0000,9.7940,42.2700,55.0000,36.0000,4.5901,107.0217,133,76,7.6296,110.7683,133,89,6.7634,12.55,12.61,12.46,24.4500,27,21,27.0,4459080
2017-07-28 00:20:00,4.6234,5.4463,3.9756,0.3390,600,4.6373,5.5219,3.8685,0.3468,600,4.2464,5.3142,3.3401,0.3810,600,3.6984,4.5970,2.4354,0.3977,600,2.9166,3.7819,1.6659,0.3779,600,32.6965,4.5143,600,29.1103,5.3069,600,94.4759,94.6074,94.3022,0.0761,600,26.23336,26.24561,26.22120,0.00395,600,26.71418,26.73086,26.70034,0.00473,600,960.5212,960.6677,960.2710,0.1432,600,3.6052,3.6067,3.6027,0.0014,0.56714,0.56731,0.56700,0.00005,0.9448,0.9461,0.9430,0.0008,0.56233,0.56246,0.56221,0.00004,58.1883,77.0000,31.0000,8.2147,75.4617,95.0000,48.0000,8.6479,86.7417,110.0000,67.0000,8.2986,95.0950,113.0000,81.0000,7.3761,45.9050,55.0000,38.0000,3.5661,80.0100,118,39,15.1125,89.2133,125,58,12.8543,12.54,12.61,12.46,24.4167,27,21,27.0,4459139
2017-07-28 00:30:00,4.6387,5.1246,3.6538,0.2178,600,4.6304,5.2301,3.6740,0.2308,600,4.3921,5.0387,3.6155,0.2364,600,3.7637,4.4130,2.4814,0.3197,600,2.7790,3.7359,1.8499,0.4131,600,30.5284,2.7752,600,27.1805,3.8315,600,94.6318,94.7295,94.5158,0.0396,600,26.25676,26.29749,26.22730,0.01841,600,26.72154,26.74612,26.70034,0.00974,600,960.6190,960.9119,960.5762,0.0235,600,3.6062,3.6091,3.6058,0.0002,0.56722,0.56746,0.56700,0.00010,0.9463,0.9473,0.9452,0.0004,0.56257,0.56297,0.56227,0.00018,55.1983,76.0000,35.0000,8.9807,76.8817,91.0000,49.0000,6.9509,89.9150,104.0000,73.0000,5.1483,95.4283,106.0000,74.0000,4.7387,45.8333,52.0000,36.0000,2.3731,74.5100,98,33,10.9118,83.0433,102,60,7.9016,12.54,12.61,12.46,24.4100,27,21,27.0,4459198
2017-07-28 00:40:00,3.6491,4.5730,2.7806,0.2478,600,3.6558,4.4520,2.7014,0.2551,600,3.3223,4.3042,2.5596,0.3187,600,2.6109,3.9531,1.5156,0.4214,600,1.7354,3.0919,1.0219,0.3630,600,32.8037,6.4670,600,26.8838,7.6540,600,94.6570,94.7295,94.5769,0.0362,600,26.29819,26.31886,26.28224,0.00573,600,26.77212,26.80105,26.73391,0.01568,600,960.8127,960.9729,960.6067,0.1411,600,3.6081,3.6097,3.6061,0.0014,0.56772,0.56801,0.56734,0.00016,0.9466,0.9473,0.9458,0.0004,0.56298,0.56319,0.56282,0.00006,32.5100,62.0000,17.0000,7.8922,51.8150,81.0000,28.0000,9.1639,66.6133,88.0000,50.0000,6.9417,73.8967,94.0000,55.0000,5.3911,35.8133,44.0000,26.0000,2.6230,73.6750,146,13,21.8023,89.5200,139,41,18.4225,12.58,12.71,12.51,24.3300,27,21,27.0,4459257
2017-07-28 00:50:00,3.4293,4.0215,2.8725,0.2352,600,3.4011,4.0630,2.7014,0.2547,600,3.1824,3.8910,2.4219,0.2272,600,2.6575,3.4012,1.9755,0.2581,600,2.0830,2.9539,1.3439,0.2700,600,34.5802,8.2390,600,27.6428,9.1192,600,94.5638,94.6684,94.4243,0.0615,600,26.33470,26.35548,26.30360,0.01179,600,26.83627,26.88040,26.78884,0.02370,600,961.0094,961.2781,960.8814,0.1470,600,3.6101,3.6128,3.6088,0.0015,0.56836,0.56880,0.56789,0.00024,0.9456,0.9467,0.9442,0.0006,0.56335,0.56355,0.56304,0.00012,40.0683,59.0000,24.0000,5.8706,52.8283,69.0000,38.0000,5.6111,63.5667,79.0000,47.0000,4.9484,69.1150,82.0000,57.0000,5.1178,33.1950,40.0000,26.0000,2.6189,79.2283,1013,8,59.4444,94.5917,162,36,23.4695,12.72,12.86,12.56,23.6967,27,21,27.0,4459315
2017-07-28 01:00:00,3.3408,4.1594,1.9074,0.4163,600,3.3376,4.2575,2.0205,0.4379,600,2.9575,4.0287,1.9628,0.4317,600,2.4756,3.4012,1.2857,0.5003,600,1.9749,2.9539,1.1139,0.4310,600,43.8987,7.4886,600,39.7098,8.2920,600,94.3846,94.5463,94.2106,0.0773,600,26.36567,26.39515,26.34327,0.01213,600,26.93444,27.00552,26.86819,0.03491,600,961.0884,961.5833,960.8814,0.1710,600,3.6109,3.6158,3.6088,0.0017,0.56934,0.57006,0.56868,0.00035,0.9438,0.9455,0.9421,0.0008,0.56366,0.56395,0.56343,0.00012,37.7183,59.0000,19.0000,9.3692,48.8733,69.0000,23.0000,10.8776,58.6667,82.0000,37.0000,9.4030,67.1883,85.0000,36.0000,9.0587,32.5417,42.0000,19.0000,4.5028,110.1150,168,43,23.6331,121.0583,170,57,21.3333,12.97,13.16,12.76,23.2700,27,21,27.1,4459374
2017-07-28 01:10:00,3.8316,4.8028,2.6887,0.3230,600,3.8203,4.7438,2.7986,0.3105,600,3.3767,4.3501,2.2382,0.4349,600,2.7475,3.8151,1.7916,0.4131,600,2.2417,3.3679,1.4359,0.3905,600,38.7635,3.6682,600,36.0998,5.2532,600,94.0026,94.2717,93.7529,0.1333,600,26.37980,26.39210,26.37074,0.00380,600,27.06065,27.10929,26.99637,0.03383,600,961.2677,961.5528,961.2171,0.0193,600,3.6127,3.6155,3.6122,0.0002,0.57061,0.57109,0.56996,0.00034,0.9400,0.9427,0.9375,0.0013,0.56380,0.56392,0.56371,0.00004,43.5167,68.0000,26.0000,8.4882,54.7867,78.0000,34.0000,8.9823,67.7983,89.0000,43.0000,9.4719,77.8683,99.0000,53.0000,7.0283,37.5050,47.0000,27.0000,3.1922,99.8750,141,42,14.9675,106.4650,135,66,10.4477,13.13,13.26,13.06,23.1467,25,21,28.0,4459433
2017-07-28 01:20:00,4.5831,5.2165,3.6998,0.2452,600,4.5820,5.3274,3.7712,0.2566,600,4.2720,4.7633,3.2942,0.2123,600,3.7543,4.5050,2.4354,0.4112,600,3.0309,4.1959,1.7579,0.5182,600,38.6605,3.1523,600,37.4143,4.3549,600,93.6674,93.8749,93.5697,0.0683,600,26.37941,26.40736,26.36463,0.00745,600,27.13101,27.19169,27.09403,0.02640,600,961.4084,961.6138,961.2171,0.1506,600,3.6141,3.6161,3.6122,0.0015,0.57131,0.57192,0.57094,0.00026,0.9367,0.9387,0.9357,0.0007,0.56379,0.56407,0.56365,0.00007,60.6750,86.0000,33.0000,11.2656,76.6783,93.0000,48.0000,8.9406,87.3000,98.0000,66.0000,4.6237,94.2183,108.0000,75.0000,5.3352,45.3367,53.0000,37.0000,2.6385,103.6217,145,68,12.4032,106.1767,137,82,8.9763,13.26,13.36,13.16,23.0167,25,21,28.0,4459492
2017-07-28 01:30:00,3.9227,4.5730,2.3210,0.3428,600,3.9150,4.6466,2.3123,0.3587,600,3.4350,4.2583,1.9169,0.4616,600,2.7691,3.9071,1.6076,0.5452,600,2.2473,3.7819,1.0219,0.6029,600,36.3614,6.2096,600,36.9956,8.0261,600,93.3527,93.7223,92.8678,0.2097,600,26.44888,26.48060,26.39210,0.02224,600,27.27235,27.33512,27.18558,0.04638,600,961.5771,961.6138,961.2781,0.0295,600,3.6158,3.6161,3.6128,0.0003,0.57272,0.57335,0.57186,0.00046,0.9335,0.9372,0.9287,0.0021,0.56449,0.56481,0.56392,0.00022,43.6400,77.0000,17.0000,13.1061,55.2550,80.0000,30.0000,11.8551,69.0683,87.0000,36.0000,10.0546,79.8500,94.0000,45.0000,7.4590,38.4783,46.0000,22.0000,3.6881,102.4300,203,36,22.8835,99.6283,143,43,17.6929,13.29,13.41,13.21,22.9867,25,21,28.0,4459551
